,No.,Project,Status,Lead CPHC,Builder,Location,Const. type,Bldg. function,Floor area,Project type,Unnamed: 10,date,year,month,state,city
17,1238,Esta bien (Clarence trust property),Pre-certified,Joseph Zimmer,John Widell Construction,"Lake Geneva (Jainsville/Rock County, WI climate data set), WI",Timber,Single Family,4353,Addition,,[],,,WI,Lake Geneva (Jainsville/Rock County
18,1244,Staten Island B3.5,Pre-certified,David White,,"Staten Island, NY",Autoclaved aerated concrete (AAC),Single Family,1127,New Construction,,[],,,NY,Staten Island
19,1246,Amonette Residence,Pre-certified,Adam Cohen,"Structures Design/Build, LLC","Natural Bridge, VA",,Single Family,1826,New Construction,,[],,,VA,Natural Bridge
20,1256,Durbin Estates Passive House,Pre-certified,Christine Gries,Habitat for Humanity Bowling Green/Warren County,"Bowling Green, KY",Timber,Single Family,1176,New Construction,,[],,,KY,Bowling Green
21,1269,Westminster Place II at Windy Hill,Pre-certified,John Semmelhack,,"Philipsburg, PA",,Multifamily,52382,New Construction,,[],,,PA,Philipsburg
22,1270,542 W 153rd St,Pre-certified,,,"New York, NY",,Multifamily,28573,New Construction,,[],,,NY,New York
23,1274,803 Knickerbocker,Pre-certified,,,"Brooklyn, NY",,Multifamily,26734,New Construction,,[],,,NY,Brooklyn
24,1306,Staten Island B6,Pre-certified,David White,,"Staten Island, NY",Autoclaved aerated concrete (AAC),Single Family,1800,New Construction,,[],,,NY,Staten Island
25,1327,Byre Knoll,Pre-certified,Ginger Watkins,Smith Family Homes,"Elizabethtown, KY",Timber,Single Family,1392,New Construction,,[],,,KY,Elizabethtown
26,1314,St John Neumann Place II,Pre-certified,Lois B. Arena,,"Philadelphia, PA",Timber,Multifamily,39482,New Construction,,[],,,PA,Philadelphia
27,1315,Heritage Point,Pre-certified,Lois B. Arena,,,,Mixed-Use,1775,New Construction,,[],,,,
28,1318,Heritage Point Type 1,Pre-certified,Lois B. Arena,,"Wilkes Barre, PA",Timber,Multifamily,13832,New Construction,,[],,,PA,Wilkes Barre
29,1319,Heritage Point Type 2,Pre-certified,Lois B. Arena,,"Wilkes Barre, PA",Timber,Multifamily,8770,New Construction,,[],,,PA,Wilkes Barre
30,1320,Heritage Point Type 3,Pre-certified,Lois B. Arena,,"Wilkes Barre, PA",Timber,Multifamily,16977,New Construction,,[],,,PA,Wilkes Barre
31,1321,Heritage Point Type 4,Pre-certified,Lois B. Arena,,"Wilkes Barre, PA",Timber,Multifamily,10455,New Construction,,[],,,PA,Wilkes Barre
32,1336,Woolman Passivhaus,Pre-certified,David Good,Atmosphere Design Build,"Nevada City, CA",Mixed timber-masonry,Single Family,3040,New Construction,,[],,,CA,Nevada City
33,1342,Washington Square Town Homes - Townhouses,Pre-certified,Matthew Fine,"PIRHL Contractors, LLC","Chambersburg, PA",Timber,Multifamily,20950,New Construction,,[],,,PA,Chambersburg
34,1349,Tenney Residence,Pre-certified,David Brach  Thomas Candee,,"Salt Lake City, UT",Timber,Single Family,3450,New Construction,,[],,,UT,Salt Lake City
35,1353,Washington Square Town Homes - 24 Unit Apartments,Pre-certified,Matthew Fine,"PIRHL Contractors, LLC","Chambersburg, PA",Timber,Multifamily,23796,New Construction,,[],,,PA,Chambersburg
36,1356,Washington Square Town Homes - 18 Unit Apartments,Pre-certified,Matthew Fine,"PIRHL Contractors, LLC","Chambersburg, PA",Timber,Multifamily,17403,New Construction,,[],,,PA,Chambersburg
37,1357,Washington Square Town Homes - Community Building,Pre-certified,Matthew Fine,"PIRHL Contractors, LLC","Chambersburg, PA",Timber,Commercial,1708,New Construction,,[],,,PA,Chambersburg
38,1365,West Side Flats III B,Pre-certified,Elizabeth Turner,,"St. Paul, MN",,Multifamily,93010,New Construction,,[],,,MN,St. Paul
39,1367,11 West 126th Street,Pre-certified,Thomas Moore,Banta Homes Corporation,"New York City , NY",Insulated concrete forms,Multifamily,9655,New Construction,,[],,,NY,New York City
40,1368,Doig River Cultural Center,Pre-certified,,,"Doig River, BC",Timber,Commercial,5514,New Construction,,[],,,BC,Doig River
41,1374,Columbia County Habitat Passive Townhomes 3,Pre-certified,Carmel Pratt,Columbia County Habitat for Humanity,"Valatie, NY",Timber,Multifamily,2872,New Construction,,[],,,NY,Valatie
42,1383,Gessner Residence,Pre-certified,Maren Longhurst,"Gavin Tenold, Pura Vida Homes","Post Falls, ID",Timber,Single Family,1766,New Construction,,[],,,ID,Post Falls
43,1385,Seminary Hill Ciders,Pre-certified,James Hartford  Adriana Rombaldi,,"Callicoon, NY",Mixed timber-masonry,Commercial,7542,New Construction,,[],,,NY,Callicoon
44,1386,Foley Residence,Pre-certified,Sam Rodell  Maren Longhurst,"Glenn Carter, Advanced Building Consultants","Lake Tapps, WA",Timber,Single Family,1986,New Construction,,[],,,WA,Lake Tapps
45,1391,1300 Pike,Pre-certified,Daniel Luddy,Cascade Built,"Seattle, WA",Mixed timber-masonry,Multifamily,29490,New Construction,,[],,,WA,Seattle
46,1395,84 Hadley,Pre-certified,Natalie Leonard,S. Larade Custom Home Builders,"Halifax, NS",Timber,Single Family,2290,New Construction,,[],,,NS,Halifax
47,1397,Shafer Residence Passive House,Pre-certified,,Oak Tree Homes,"Wilton, IA",Timber,Single Family,1817,New Construction,,[],,,IA,Wilton
48,1398,Muncy Greene,Pre-certified,Sanyog Rathod,Woda Group,"Muncy, PA",Timber,Single Family,4805,New Construction,,[],,,PA,Muncy
49,1401,Montgomery Park,Pre-certified,John Semmelhack,,"Norristown, PA",Timber,Multifamily,42278,New Construction,,[],,,PA,Norristown
50,1402,Anthony Wayne III,Pre-certified,John Semmelhack,,"Philadelphia, PA",,Multifamily,39806,New Construction,,[],,,PA,Philadelphia
51,1405,The Willows at Landisville - Building 1,Pre-certified,John Semmelhack,Ingerman,"Landisville, PA",Timber,Multifamily,,New Construction,,[],,,PA,Landisville
52,1406,Norby Residence,Pre-certified,Brian Falcon,,"Loch Sheldrake, NY",Timber,Single Family,2995,New Construction,,[],,,NY,Loch Sheldrake
53,1409,3221 Blenheim Place,Pre-certified,Ron Frazier,Frazier Passie House Design|Build Inc,"Winston Salem, NC",Timber,Single Family,2138,New Construction,,[],,,NC,Winston Salem
54,1416,Tree of Life,Pre-certified,,,"Queens, NY",Insulated concrete forms,Mixed-Use,148403,New Construction,,[],,,NY,Queens
55,1417,Hsu Residence,Pre-certified,Katy Hollbacher,MacLeod Design & Construction,"Berkeley, CA",Timber,Single Family,942,New Construction,,[],,,CA,Berkeley
56,1421,577 West 161st Street,Pre-certified,Carmel Pratt,Rohan Developments,"New York City, NY",Masonry,Mixed-Use,16321,New Construction,,[],,,NY,New York City
57,1422,Muncy Greene (w/ Community Space),Pre-certified,,Woda Group,"Muncy, PA",Timber,Single Family,7008,New Construction,,[],,,PA,Muncy
58,1428,425 Grand Concourse,Pre-certified,Lois B. Arena,"Monadnock Construction, Inc.","Bronx, NY",Masonry,Mixed-Use,280227,New Construction,,[],,,NY,Bronx
59,1432,Waynflete Lower School,Pre-certified,Colin Schless,Wright Ryan Construction,"Portland, ME",Mixed timber-masonry,School,21475,New Construction,,[],,,ME,Portland
